,CO2_net,CO2_nonbio,CO2_bio,Life_carbonation,EOL_carbonation,CH4,N2O,MN,Net,Low_Error,High_Error
BAU_C1_Static_20_SSP1,1265385.0922757306,1452651.6185388272,-19659.199637990896,-33481.11846168507,-134126.20816342064,295284.4321214034,6764.971673562434,302049.4037949658,1567434.4960706963,0.0,0.0
BAU_C2_Static_20_SSP1,1355023.9833714657,1467448.3962987273,-19659.199637990896,-33481.11846168507,-59284.0948275857,297474.09767749533,6904.299615238416,304378.3972927338,1659402.3806641991,0.0,0.0
BAU_C3_Static_20_SSP1,1284478.1760761635,1455803.3321987272,-19659.199637990896,-33481.11846168507,-118184.83802288781,295750.830886201,6794.648524964927,302545.4794111659,1587023.6554873292,0.0,0.0
LC3_C1_Static_20_SSP1,1138353.3242687879,1260714.7445388266,-19659.199637990896,-31300.871096586212,-71401.3495354618,296362.99014818494,6306.665360098091,302669.655508283,1441022.9797770705,0.0,0.0
LC3_C2_Static_20_SSP1,1192230.736013985,1275511.5222987267,-19659.199637990896,-31300.871096586212,-32320.715550164718,298552.65570427687,6445.993301774072,304998.64900605095,1497229.3850200358,0.0,0.0
LC3_C3_Static_20_SSP1,1149829.2129675562,1263866.4581987266,-19659.199637990896,-31300.871096586212,-63077.17449659347,296829.38891298254,6336.342211500583,303165.7311244831,1452994.944092039,0.0,0.0
EST_T1_Static_20_SSP1,48208.341702639256,845546.7019800015,-744950.5477458382,0.0,-52387.81253152409,124886.84122737526,9737.744154565542,134624.5853819408,182832.92708457995,0.0,0.0
EST_T2_Static_20_SSP1,736468.0555384776,788855.8680700015,2.3283064365386963e-10,0.0,-52387.81253152409,123426.19223202426,4506.664521197354,127932.85675322161,864400.9122916992,0.0,0.0
EST_T3_Static_20_SSP1,906246.261278478,958634.0738100018,2.3283064365386963e-10,0.0,-52387.81253152409,159189.14267791813,6129.179703043121,165318.32238096127,1071564.583659439,0.0,0.0
EST_T4_Static_20_SSP1,184979.05855970806,982317.4188370703,-744950.5477458382,0.0,-52387.81253152409,4821535.017427349,6224.000567997554,4827759.017995347,5012738.076555056,0.0,0.0
EST_T5_Static_20_SSP1,342245.13853171177,1139583.498809074,-744950.5477458382,0.0,-52387.81253152409,162451.2577194473,6224.000567997554,168675.25828744486,510920.3968191567,0.0,0.0
EST_T6_Static_20_SSP1,214793.0686074826,1012131.4288848449,-744950.5477458382,0.0,-52387.81253152409,-65652.39156157747,3667.4958712183593,-61984.89569035912,152808.17291712353,0.0,0.0
EST_T7_Static_20_SSP1,249339.28718441818,979632.098164655,-677904.9984487128,0.0,-52387.81253152409,2364391.504577044,6541.636944439044,2370933.141521483,2620272.4287059014,0.0,0.0
